Nombre,Vino Tinto,Vino Blanco,Joven (CRIANZA),Reserva,Gran Reserva,Roble,Sin reserva,Francia,Italia,España,Argentina,Cosecha < 2000s,Cosecha 2000s >,"Precio: < $20,000-$10,000","Precio: $10,000-$4,000","Precio: $4,000 >",Pinot Noir,Cabernet Sauvignon, Syrah,Merlot,Torrontés
Hermanos Sastre Pesus,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0
La Nieta,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0
Muga Aro,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
Pago de los Capellanes Reserva,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Pazo de Señorans Selección de Añada,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Viña El Pisón,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
CVNE Imperial Reserva,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0
Ossian,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Pago de Carraovejas Reserva,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0
Termanthia,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
Valbuena 5º Año,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
Almirez,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Aalto PS,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
Pago de los Capellanes Parcela El Nogal,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Dominio de Atauta,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Viña Pedrosa La Navilla,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Finca Villacreces,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
Contador La Cueva del Contador,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Volver,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Finca Dofí,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0
Barón de Ley Gran Reserva,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0
Bodegas Juan Gil El Nido,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Vega Sicilia Alión Reserva,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
Malbec Argentino,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
Terrazas de los Andes,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Catena Zapata,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0
Rutini Wines,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0
Norton,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0
Luigi Bosca,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
Altos Las Hormigas,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Trapiche,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
Zuccardi,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0
Bodega Colomé,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Finca La Linda,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0
Bodega Mendel,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
El Enemigo,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
Chakana Wines,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0
Finca Decero,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Viña Cobos,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
Bodega Norton,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0
Bodega Piedra Negra,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0
Susana Balbo Wines,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
Bodega Salentein,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Bodega Septima,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0
Bodega Norton,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1
Clos de los Siete,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0
Mendel Wines,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1
Bodega Del Fin del Mundo,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0
Bodega Garzón,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Bodega El Esteco,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1
Bodega Atamisque,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0
Bodega Los Haroldos,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
Bodega Luigi Bosca,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
Sassicaia,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0
Tignanello,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
Ornellaia,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0
Solaia,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0
Barolo Monfortino,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0
Amarone della Valpolicella Classico,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
Brunello di Montalcino Riserva,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0
Barbaresco Asili,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
Barbaresco Sori Tildin,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0
Barbaresco Sori San Lorenzo,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0
Barbaresco Rabajà,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0
Barolo Cannubi,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0
Gaja Sperss,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0
Gaja Conteisa,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0
Gaja Barbaresco,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0
Gaja Langhe Nebbiolo,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0
Giacomo Conterno Monfortino,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0
Giacomo Conterno Cascina Francia,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0
Giacomo Conterno Barolo Riserva Monfortino,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0
Masseto,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
Quintarelli Amarone della Valpolicella,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0
Messorio,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0
Sassicaia Tenuta San Guido,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
Sassicaia San Guido,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
Sassicaia Incisa della Rocchetta,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
Brunello di Montalcino,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
Amarone della Valpolicella,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
Château Lafite Rothschild,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0
Château Margaux,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0
Château Latour,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0
Château Haut-Brion,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0
Pétrus,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
Château Mouton Rothschild,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0
Château d'Yquem,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
Domaine de la Romanée-Conti Romanée-Conti,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0
Domaine de la Romanée-Conti La Tâche,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0
Domaine de la Romanée-Conti Richebourg,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0
Domaine de la Romanée-Conti La Romanée,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0
Domaine de la Romanée-Conti Montrachet,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
Domaine de la Romanée-Conti Romanée-Saint-Vivant,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
Domaine de la Romanée-Conti Grands-Échezeaux,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0
Domaine de la Romanée-Conti Échezeaux,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0
Château Cheval Blanc,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0
Château Ausone,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0
Château Pavie,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0
Château Le Pin,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
Château Angelus,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
Château Palmer,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
Château Cos d'Estournel,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0
Château Canon,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0
Château Léoville Las Cases,1,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0
Château Pichon Longueville Comtesse de Lalande,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0
Château Pontet-Canet,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0
Château Léoville Barton,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0
Château Smith Haut Lafitte,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0
Château Clerc Milon,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0
Château Montrose,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0
